Type,Magnitude,Place,Time,Updated,Ids,Coords,Felt,CDI,MMI,Alert,Tsunami,sig,rms,Size
earthquake,1.1,"30 km SW of Lake Minchumina, Alaska",2022-01-06 00:59:04.560,2022-01-31 19:01:25.001,ak0228nqd0g,"[-152.8052, 63.7241, 14.5]",,,,,0,19,0.44,12.994505494505495
earthquake,3.0,off the coast of Southeastern Alaska,2022-01-06 00:51:06.676,2022-06-23 20:25:05.203,us7000ggqf,"[-141.812, 56.158, 10]",,,,,0,138,0.71,15.604395604395604
earthquake,4.6,South Sandwich Islands region,2022-01-06 00:47:50.501,2022-03-12 23:19:22.040,us7000gc0e,"[-25.5359, -57.9843, 37.71]",,,,,0,326,0.6,17.802197802197803
earthquake,0.59,"17km E of Little Lake, CA",2022-01-06 00:46:00.120,2022-01-06 02:15:20.786,ci39903487,"[-117.7196667, 35.92, 5.01]",,,,,0,5,0.07,12.293956043956044
earthquake,1.1,"97 km NW of Yakutat, Alaska",2022-01-06 00:41:20.969,2022-01-31 19:01:33.983,ak0228nmjcw,"[-140.6966, 60.2718, 8.5]",,,,,0,19,0.54,12.994505494505495
earthquake,2.9,"55 km S of Whites City, New Mexico",2022-01-06 00:37:46.784,2022-03-12 23:19:10.040,tx2022ajct,"[-104.4086435, 31.67606494, 6.080151367]",,,,,0,129,0.3,15.467032967032967
earthquake,1.7,"60 km W of Anchor Point, Alaska",2022-01-06 00:35:59.799,2022-01-31 19:01:33.725,ak0228nlc23,"[-152.9109, 59.8055, 98.9]",,,,,0,44,0.26,13.81868131868132
earthquake,1.43,"9 km NW of Tiptonville, Tennessee",2022-01-06 00:33:12.120,2022-01-06 15:48:07.610,nm60378431,"[-89.5343333, 36.4486667, 9.45]",,,,,0,31,0.07,13.447802197802197
earthquake,1.3,"8 km E of Nenana, Alaska",2022-01-06 00:26:04.011,2022-01-31 19:01:24.409,ak0228njabj,"[-148.9142, 64.5568, 16.9]",,,,,0,26,0.35,13.269230769230768
earthquake,5.7,southern Pacific Ocean,2022-01-06 00:24:39.238,2022-03-12 23:19:10.040,us7000g9el,"[-71.5089, -65.3437, 10]",,,3.959,green,0,500,0.56,19.313186813186814
earthquake,1.3,"34 km SE of Mina, Nevada",2022-01-06 00:22:21.657,2022-01-06 00:26:29.483,nn00831148,"[-117.8066, 38.1843, 10.7]",,,,,0,26,0.0531,13.269230769230768
earthquake,2.0,"53 km ESE of King Salmon, Alaska",2022-01-06 00:15:43.934,2022-01-31 19:01:24.133,ak0228nh0ll,"[-155.8007, 58.5142, 144.8]",,,,,0,62,0.43,14.23076923076923
earthquake,0.95,"50 km SE of West Yellowstone, Montana",2022-01-06 00:15:11.490,2022-01-06 00:37:21.090,uu60476337,"[-110.5925, 44.3871667, 2.34]",,,,,0,14,0.12,12.788461538461538
earthquake,0.95,"9km WNW of The Geysers, CA",2022-01-06 00:14:59.240,2022-01-06 00:34:10.877,nc73674201,"[-122.8496704, 38.8209991, 2.04]",,,,,0,14,0.02,12.788461538461538
earthquake,1.2,"37 km WNW of Tonopah, Nevada",2022-01-06 00:07:10.302,2022-01-06 00:11:19.589,nn00831146,"[-117.6335, 38.1916, 14.2]",,,,,0,22,0.1877,13.131868131868131
earthquake,1.5,"5 km ENE of Adak, Alaska",2022-01-05 23:58:08.504,2022-01-31 19:01:23.885,ak0228n4q15,"[-176.561, 51.8988, 5.3]",,,,,0,35,0.44,13.543956043956044
earthquake,2.5,"6 km NNE of Argonia, Kansas",2022-01-05 23:55:11.566,2022-03-12 23:19:10.040,us7000g9dy,"[-97.7281, 37.3211, 12.65]",6.0,4.1,,,0,99,0.3,14.917582417582416
earthquake,4.5,South Sandwich Islands region,2022-01-05 23:54:55.449,2022-03-12 23:19:22.040,us7000gc0f,"[-26.3231, -59.7547, 35]",,,,,0,312,0.36,17.664835164835164
earthquake,0.32,"8km WNW of Cobb, CA",2022-01-05 23:52:40.520,2022-01-11 02:03:10.805,nc73674196,"[-122.7998333, 38.8556667, 1.04]",,,,,0,2,0.16,11.923076923076923
earthquake,1.18,"10km ENE of Milpitas, CA",2022-01-05 23:38:14.210,2022-01-11 00:46:10.212,nc73674191,"[-121.807, 37.4755, 2.01]",,,,,0,21,0.09,13.104395604395604
earthquake,1.1,"9 km SSW of Hawthorne, Nevada",2022-01-05 23:36:17.836,2022-01-05 23:40:42.472,nn00831145,"[-118.6834, 38.4548, 0]",,,,,0,19,0.2594,12.994505494505495
earthquake,-0.09,"37 km NNE of Amboy, Washington",2022-01-05 23:32:23.820,2022-01-06 20:31:03.030,uw61800707,"[-122.201666666667, 46.2018333333333, 3.9]",,,,,0,0,0.08,11.35989010989011
earthquake,1.8,"13 km NE of Chase, Alaska",2022-01-05 23:32:08.091,2022-01-31 19:01:23.567,ak0228mz5d6,"[-149.9454, 62.5477, 63.9]",,,,,0,50,0.52,13.956043956043956
earthquake,0.93,"8 km S of Helena West Side, Montana",2022-01-05 23:19:07.940,2022-01-06 23:31:46.600,mb80535379,"[-112.1155, 46.5205, 11.05]",,,,,0,13,0.1,12.760989010989011
earthquake,3.2,"210 km SE of Chignik, Alaska",2022-01-05 23:15:03.474,2022-03-12 23:19:26.040,ak0228mvhsb,"[-156.1865, 54.8862, 10.2]",,,,,0,158,0.7,15.87912087912088
earthquake,1.1,"10km NW of The Geysers, CA",2022-01-05 23:12:29.340,2022-01-11 03:43:11.228,nc73674181,"[-122.8518333, 38.827, 1.6]",,,,,0,19,0.06,12.994505494505495
earthquake,1.18,"8km WNW of Cobb, CA",2022-01-05 23:11:34.960,2022-01-06 00:37:10.893,nc73674176,"[-122.8161697, 38.8468323, 0.92]",,,,,0,21,0.02,13.104395604395604
earthquake,2.65,"14 km SSW of Wai‘?hinu, Hawaii",2022-01-05 23:10:43.820,2022-03-12 23:19:10.040,hv72858962,"[-155.645166666667, 18.9425, 43.61]",,,,,0,108,0.12,15.123626373626372
